"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login scenario","SUCCESS","2022-05-20T16:24:35.5863126+07:00[Asia/Jakarta]","0.0","51.68"
"Logout","Success Logout","SUCCESS","2022-05-20T16:25:27.2738573+07:00[Asia/Jakarta]","0.0","5.66"
"Order","Preparation Order","SUCCESS","2022-05-20T16:25:32.9518965+07:00[Asia/Jakarta]","0.0","7.1"
"Order","Add amount order Product","SUCCESS","2022-05-20T16:25:40.0646347+07:00[Asia/Jakarta]","0.0","0.02"
"Order","Minus amount order Product","SUCCESS","2022-05-20T16:25:40.1018533+07:00[Asia/Jakarta]","0.0","0.06"
"Product","See Product AltaShop","SUCCESS","2022-05-20T16:25:40.1816359+07:00[Asia/Jakarta]","0.0","5.91"
"Product","Buying Product AltaShop","SUCCESS","2022-05-20T16:25:46.937076+07:00[Asia/Jakarta]","0.0","6.59"
"Product","Rating Product AltaShop","SUCCESS","2022-05-20T16:25:54.3735885+07:00[Asia/Jakarta]","0.0","5.01"
"Register","Register scenario","SUCCESS","2022-05-20T16:26:00.2469133+07:00[Asia/Jakarta]","0.0","28.72"
"Transactions","Transactions Success","SUCCESS","2022-05-20T16:26:28.9810398+07:00[Asia/Jakarta]","0.0","8.04"
"Transactions","Failed Transactions","SUCCESS","2022-05-20T16:26:37.0251623+07:00[Asia/Jakarta]","0.0","0.08"
