"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login scenario","SUCCESS","2022-05-16T14:56:24.8824105+07:00[Asia/Jakarta]","0.0","35.72"
"Logout","Success Logout","SUCCESS","2022-05-16T14:57:00.6254758+07:00[Asia/Jakarta]","0.0","6.32"
"Order","Preparation Order","SUCCESS","2022-05-16T14:57:06.9628516+07:00[Asia/Jakarta]","0.0","6.46"
"Order","Add amount order Product","SUCCESS","2022-05-16T14:57:13.4399553+07:00[Asia/Jakarta]","0.0","0.05"
"Order","Minus amount order Product","SUCCESS","2022-05-16T14:57:13.4939315+07:00[Asia/Jakarta]","0.0","0.03"
"Product","See Product AltaShop","SUCCESS","2022-05-16T14:57:13.5401013+07:00[Asia/Jakarta]","0.0","4.69"
"Product","Buying Product AltaShop","SUCCESS","2022-05-16T14:57:18.9350169+07:00[Asia/Jakarta]","0.0","4.75"
"Product","Rating Product AltaShop","SUCCESS","2022-05-16T14:57:24.4038085+07:00[Asia/Jakarta]","0.0","4.46"
"Register","Register scenario","SUCCESS","2022-05-16T14:57:29.711432+07:00[Asia/Jakarta]","0.0","26.41"
"Transactions","Transactions Success","SUCCESS","2022-05-16T14:57:56.1391243+07:00[Asia/Jakarta]","0.0","7.59"
"Transactions","Failed Transactions","SUCCESS","2022-05-16T14:58:03.7503333+07:00[Asia/Jakarta]","0.0","0.06"
